,distortion_lvl,distortion_type,inference_time,p_tar
0,0.0,pristine,0.3419983386993408,0.7
1,0.0,pristine,0.3579978942871094,0.7
2,0.0,pristine,0.3460021018981933,0.7
3,0.0,pristine,0.3667566776275635,0.7
4,0.0,pristine,0.4031240940093994,0.7
5,0.0,pristine,0.4375004768371582,0.7
6,0.0,pristine,0.4062485694885254,0.7
7,0.0,pristine,0.3926436901092529,0.7
8,0.0,pristine,0.4218766689300537,0.7
9,0.0,pristine,0.4062492847442627,0.7
10,0.0,pristine,0.2499492168426513,0.7
11,0.0,pristine,0.2656242847442627,0.7
12,0.0,pristine,0.2812471389770508,0.7
13,0.0,pristine,0.2968752384185791,0.7
14,0.0,pristine,0.2951934337615967,0.7
15,0.0,pristine,0.265620470046997,0.7
16,0.0,pristine,0.281247615814209,0.7
17,0.0,pristine,0.3281259536743164,0.7
18,0.0,pristine,0.2812445163726806,0.7
19,0.0,pristine,0.3593738079071045,0.7
20,0.0,pristine,0.4218714237213135,0.7
21,0.0,pristine,0.3749942779541015,0.7
22,0.0,pristine,0.406245470046997,0.7
23,0.0,pristine,0.3593723773956299,0.7
24,0.0,pristine,0.4133279323577881,0.7
25,0.0,pristine,0.3749971389770508,0.7
26,0.0,pristine,0.406238317489624,0.7
27,0.0,pristine,0.3437449932098388,0.7
28,0.0,pristine,0.3437340259552002,0.7
29,0.0,pristine,0.3593709468841553,0.7
30,0.0,pristine,0.3749988079071045,0.7
31,0.0,pristine,0.3437497615814209,0.7
32,0.0,pristine,0.343745470046997,0.7
33,0.0,pristine,0.3749983310699463,0.7
34,0.0,pristine,0.3437488079071045,0.7
35,0.0,pristine,0.3471598625183105,0.7
36,0.0,pristine,0.4039442539215088,0.7
37,0.0,pristine,0.390622615814209,0.7
38,0.0,pristine,0.3534712791442871,0.7
39,0.0,pristine,0.3779151439666748,0.7
40,0.0,pristine,0.3749990463256836,0.7
41,0.0,pristine,0.3593733310699463,0.7
42,0.0,pristine,0.4062438011169433,0.7
43,0.0,pristine,0.3593707084655761,0.7
44,0.0,pristine,0.3749961853027344,0.7
45,0.0,pristine,0.3593719005584717,0.7
46,0.0,pristine,0.359375,0.7
47,0.0,pristine,0.3593795299530029,0.7
48,0.0,pristine,0.3749856948852539,0.7
49,0.0,pristine,0.390620470046997,0.7
50,0.0,pristine,0.3593738079071045,0.7
51,0.0,pristine,0.374995470046997,0.7
52,0.0,pristine,0.3593745231628418,0.7
53,0.0,pristine,0.3281228542327881,0.7
54,0.0,pristine,0.3593733310699463,0.7
55,0.0,pristine,0.34375,0.7
56,0.0,pristine,0.3653686046600342,0.7
57,0.0,pristine,0.3890011310577392,0.7
58,0.0,pristine,0.4130010604858398,0.7
59,0.0,pristine,0.3680000305175781,0.7
60,0.0,pristine,0.3710000514984131,0.7
61,0.0,pristine,0.407001256942749,0.7
62,0.0,pristine,0.3540000915527344,0.7
63,0.0,pristine,0.377997875213623,0.7
64,0.0,pristine,0.3950021266937256,0.7
65,0.0,pristine,0.3640003204345703,0.7
66,0.0,pristine,0.3870003223419189,0.7
67,0.0,pristine,0.3750021457672119,0.7
68,0.0,pristine,0.4410018920898437,0.7
69,0.0,pristine,0.3900008201599121,0.7
70,0.0,pristine,0.3569982051849365,0.7
71,0.0,pristine,0.3430061340332031,0.7
72,0.0,pristine,0.4100015163421631,0.7
73,0.0,pristine,0.3990018367767334,0.7
74,0.0,pristine,0.3480007648468017,0.7
75,0.0,pristine,0.3720004558563232,0.7
76,0.0,pristine,0.3900017738342285,0.7
77,0.0,pristine,0.3420038223266601,0.7
78,0.0,pristine,0.4000003337860107,0.7
79,0.0,pristine,0.4069998264312744,0.7
80,0.0,pristine,0.3509995937347412,0.7
81,0.0,pristine,0.3739986419677734,0.7
82,0.0,pristine,0.4070041179656982,0.7
83,0.0,pristine,0.346001386642456,0.7
84,0.0,pristine,0.3769984245300293,0.7
85,0.0,pristine,0.4280002117156982,0.7
86,0.0,pristine,0.4100003242492676,0.7
87,0.0,pristine,0.3589987754821777,0.7
88,0.0,pristine,0.3770012855529785,0.7
89,0.0,pristine,0.3400006294250488,0.7
90,0.0,pristine,0.3469977378845215,0.7
91,0.0,pristine,0.3860006332397461,0.7
92,0.0,pristine,0.3780014514923095,0.7
93,0.0,pristine,0.3890027999877929,0.7
94,0.0,pristine,0.3630003929138183,0.7
95,0.0,pristine,0.3700008392333984,0.7
96,0.0,pristine,0.3460018634796142,0.7
97,0.0,pristine,0.3779997825622558,0.7
98,0.0,pristine,0.3669989109039306,0.7
99,0.0,pristine,0.3500027656555176,0.7
100,0.0,pristine,0.3830022811889648,0.7
101,0.0,pristine,0.3690006732940674,0.7
102,0.0,pristine,0.3820023536682129,0.7
103,0.0,pristine,0.3930013179779053,0.7
104,0.0,pristine,0.3786070346832275,0.7
105,0.0,pristine,0.3655896186828613,0.7
106,0.0,pristine,0.3633649349212646,0.7
107,0.0,pristine,0.3749969005584717,0.7
108,0.0,pristine,0.3750011920928955,0.7
109,0.0,pristine,0.3593707084655761,0.7
110,0.0,pristine,0.3437509536743164,0.7
111,0.0,pristine,0.3906228542327881,0.7
112,0.0,pristine,0.3593735694885254,0.7
113,0.0,pristine,0.3906223773956299,0.7
114,0.0,pristine,0.3593740463256836,0.7
115,0.0,pristine,0.4062445163726806,0.7
116,0.0,pristine,0.3593747615814209,0.7
117,0.0,pristine,0.3749959468841553,0.7
118,0.0,pristine,0.3906199932098388,0.7
119,0.0,pristine,0.3593716621398926,0.7
120,0.0,pristine,0.328118085861206,0.7
121,0.0,pristine,0.3281264305114746,0.7
122,0.0,pristine,0.3593711853027344,0.7
123,0.0,pristine,0.359372615814209,0.7
124,0.0,pristine,0.3906223773956299,0.7
125,0.0,pristine,0.4062480926513672,0.7
126,0.0,pristine,0.3281271457672119,0.7
127,0.0,pristine,0.3906228542327881,0.7
128,0.0,pristine,0.3906219005584717,0.7
129,0.0,pristine,0.3906219005584717,0.7
130,0.0,pristine,0.368241548538208,0.7
131,0.0,pristine,0.3636908531188965,0.7
132,0.0,pristine,0.3437469005584717,0.7
133,0.0,pristine,0.3906230926513672,0.7
134,0.0,pristine,0.3593733310699463,0.7
135,0.0,pristine,0.3749988079071045,0.7
136,0.0,pristine,0.3749988079071045,0.7
137,0.0,pristine,0.4062492847442627,0.7
138,0.0,pristine,0.390625,0.7
139,0.0,pristine,0.4326486587524414,0.7
140,0.0,pristine,0.4110004901885986,0.7
141,0.0,pristine,0.4669778347015381,0.7
142,0.0,pristine,0.406247615814209,0.7
143,0.0,pristine,0.3281233310699463,0.7
144,0.0,pristine,0.3593769073486328,0.7
145,0.0,pristine,0.4218723773956299,0.7
146,0.0,pristine,0.380730390548706,0.7
147,0.0,pristine,0.4084572792053222,0.7
148,0.0,pristine,0.4118292331695556,0.7
149,0.0,pristine,0.3876180648803711,0.7
150,0.0,pristine,0.4062483310699463,0.7
151,0.0,pristine,0.3906211853027344,0.7
152,0.0,pristine,0.4062488079071045,0.7
153,0.0,pristine,0.4062488079071045,0.7
154,0.0,pristine,0.3593735694885254,0.7
155,0.0,pristine,0.3622682094573974,0.7
156,0.0,pristine,0.24995946884155273,0.7
